 RAINS-DIS_HR_HPC-MV_FINAL        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Part Pins List          0/2747 Selected Parts             10-Jan-2011 9:00
                                                           INCH units

Part        T/B
Pin   Name      X         Y     Layer  Net               Nail(s)

Part CN2    (T)

   6    6    -4.498    -4.695     1    +3VSUS            18
   7    7    -4.325    -4.823     1    GND               1
   8    8    -4.573    -4.823     1    GND               1

Part CN33   (T)

   1    1    -5.083    -4.699     1    +3VSUS            18
   2    2    -5.043    -4.699     1    TP_LED#           866
   3    3    -5.004    -4.699     1    GND               1
   4    4    -4.965    -4.699     1    NC__2054          
   5    5    -4.870    -4.827     1    GND               1
   6    6    -5.177    -4.827     1    GND               1

Part U3     (T)

   1    1    -1.848    -0.696     1    LIDIN#            920
   2    2    -1.848    -0.668     1    INV_ENABLE_MUX    420
   3    3    -1.848    -0.640     1    GND               1
   4    4    -1.922    -0.640     1    INV_ENABLE_2      410
   5    5    -1.922    -0.696     1    +3VRUN            19

Part U4     (T)

   1    1    -1.945    -0.595     1    BL_OFF#           414
   2    2    -1.917    -0.595     1    INV_ENABLE_2      410
   3    3    -1.889    -0.595     1    GND               1
   4    4    -1.889    -0.521     1    INV_ENABLE        411
   5    5    -1.945    -0.521     1    +3VRUN            19

Part U5     (T)

   1    1    -4.567    -3.703     1    PWRGD_CORE        782
   2    2    -4.595    -3.703     1    N30949088         779
   3    3    -4.623    -3.703     1    GND               1
   4    4    -4.623    -3.777     1    IMVP_OK           778
   5    5    -4.567    -3.777     1    +3VRUN            19

Part U11    (T)

   1    1    -5.932    -5.001     1    SPI_ROM_CS#       887
   2    2    -5.932    -4.950     1    SPI_ROM_SDI_R     885
   3    3    -5.932    -4.900     1    SPI_ROM_WP#_R     888
   4    4    -5.932    -4.849     1    GND               1
   5    5    -6.141    -4.849     1    SPI_ROM_SDO       1001
   6    6    -6.141    -4.900     1    SPI_ROM_CLK_F     1006
   7    7    -6.141    -4.950     1    N70345209         1005
   8    8    -6.141    -5.001     1    +ECVCC            16

Part U12    (T)

   1    1    -6.261    -5.076     1    EC_WP             1651
   2    2    -6.261    -5.047     1    GND               1
   3    3    -6.261    -5.018     1    N50994105         
   4    4    -6.330    -5.018     1    SPI_PROTECT       1004
   5    5    -6.330    -5.047     1    +3VRUN            19
   6    6    -6.330    -5.076     1    PLT_RST#          604

Part U15    (B)

   1    1     0.504    -1.775     2    +5VRUN            9
   2    2     0.533    -1.775     2    +3VRUN            19
   3    3     0.558    -1.775     2    IGPU_B            378
   4    4     0.583    -1.775     2    IGPU_G            377
   5    5     0.608    -1.775     2    IGPU_R            376
   6    6     0.633    -1.775     2    GND               1
   7    7     0.658    -1.775     2    +3VRUN            19
   8    8     0.686    -1.775     2    D_SHIFT_+5VRUN    231
   9    9     0.686    -1.985     2    CRT_DDCCLK        232
  10   10     0.658    -1.985     2    CRT_DDC_CLK_5S    1450
  11   11     0.633    -1.985     2    CRT_DDC_DATA_5S   1449
  12   12     0.608    -1.985     2    CRT_DDCDATA       233
  13   13     0.583    -1.985     2    HSYNC13_L         383
  14   14     0.558    -1.985     2    HSYNC13           381
  15   15     0.533    -1.985     2    VSYNC14_L         382
  16   16     0.504    -1.985     2    VSYNC14           384

Part U16    (T)

   1    1    -1.300    -2.487     1    BUF_PLT_RST#      1710
   2    2    -1.300    -2.459     1    BUF_PLT_RST#      1710
   3    3    -1.300    -2.431     1    GND               1
   4    4    -1.375    -2.431     1    PLT_RST#          604
   5    5    -1.375    -2.487     1    +3VRUN            19

Part U18    (B)

   1    1    -6.439    -0.541     2    NC__2084          
   2    2    -6.439    -0.570     2    BUF_PLT_RST#      1710
   3    3    -6.439    -0.599     2    GND               1
   4    4    -6.511    -0.599     2    BUFO_CPU_RST#     1704
   5    5    -6.511    -0.541     2    +3VRUN            19

Part U22    (T)

   1    1   -10.569    -1.141     1    N63935520         1737
   2    2   -10.569    -1.121     1    DMIC_CLK_R        1164
   3    3   -10.569    -1.102     1    N21926811         1163
   4    4   -10.569    -1.082     1    DMIC_DAT          690
   5    5   -10.569    -1.062     1    HDA_CODEC_SDATAOUT  691
   6    6   -10.569    -1.043     1    HDA_CODEC_BITCLK_R  1736
   7    7   -10.569    -1.023     1    GND               1
   8    8   -10.569    -1.003     1    SDATA_IN          1162
   9    9   -10.569    -0.983     1    N21896873         1734
  10   10   -10.569    -0.964     1    HDA_CODEC_SYNC_R  1147
  11   11   -10.569    -0.944     1    HDA_CODEC_RST#    1158
  12   12   -10.569    -0.924     1    N71864341         1159
  13   13   -10.600    -0.896     1    SENSEA            1735
  14   14   -10.619    -0.896     1    SENSEB            1160
  15   15   -10.639    -0.896     1    NC__2237          
  16   16   -10.659    -0.896     1    NC__2238          
  17   17   -10.678    -0.896     1    NC__2239          
  18   18   -10.698    -0.896     1    NC__2240          
  19   19   -10.718    -0.896     1    MIC_IN            1161
  20   20   -10.737    -0.896     1    MIC_IN            1161
  21   21   -10.757    -0.896     1    N61841161         1186
  22   22   -10.777    -0.896     1    N61841163         1184
  23   23   -10.797    -0.896     1    NC__2241          
  24   24   -10.816    -0.896     1    MIC_REF           1183
  25   25   -10.843    -0.924     1    NC__2242          
  26   26   -10.843    -0.944     1    A_GND             1152
  27   27   -10.843    -0.964     1    N61841078         1182
  28   28   -10.843    -0.983     1    NC__2243          
  29   29   -10.843    -1.003     1    NC__2244          
  30   30   -10.843    -1.023     1    A_GND             1152
  31   31   -10.843    -1.043     1    HP_L              1744
  32   32   -10.843    -1.062     1    HP_R              1743
  33   33   -10.843    -1.082     1    A_GND             1152
  34   34   -10.843    -1.102     1    N61841038         1180
  35   35   -10.843    -1.121     1    N61465858         1179
  36   36   -10.843    -1.141     1    N61465860         1176
  37   37   -10.816    -1.170     1    N61841042         1175
  38   38   -10.797    -1.170     1    N61841078         1182
  39   39   -10.777    -1.170     1    N61841109         1174
  40   40   -10.757    -1.170     1    SPK-L+_L          1742
  41   41   -10.737    -1.170     1    SPK-L-_L          1741
  42   42   -10.718    -1.170     1    A_GND             1152
  43   43   -10.698    -1.170     1    SPK-R-_L          1740
  44   44   -10.678    -1.170     1    SPK-R+_L          1739
  45   45   -10.659    -1.170     1    N61841109         1174
  46   46   -10.639    -1.170     1    MUTE_LED_A        1166
  47   47   -10.619    -1.170     1    A_SD#             1165
  48   48   -10.600    -1.170     1    NC__2245          
  49   49   -10.708    -1.033     1    A_GND             1152

Part U24    (T)

   1    1    -1.715    -0.857     1    BL_OFF#           414
   2    2    -1.715    -0.829     1    MUX_VDD_EN        418
   3    3    -1.715    -0.801     1    GND               1
   4    4    -1.790    -0.801     1    LCD_PWR_EN        419
   5    5    -1.790    -0.857     1    +3VRUN            19

Part U25    (T)

   1    1    -3.853    -1.493     1    PM_DRAM_PWRGD_PCH  654
   2    2    -3.853    -1.465     1    N57039153         661
   3    3    -3.853    -1.437     1    GND               1
   4    4    -3.927    -1.437     1    N53493821         700
   5    5    -3.927    -1.493     1    +3VALW            20

Part U27    (T)

   1    1    -0.504    -4.536     1    MDI0+             244
   2    2    -0.519    -4.536     1    MDI0-             309
   3    3    -0.535    -4.536     1    VDD1              1522
   4    4    -0.551    -4.536     1    MDI1+             253
   5    5    -0.567    -4.536     1    MDI1-             307
   6    6    -0.582    -4.536     1    VDD1              1522
   7    7    -0.598    -4.536     1    MDI2+             245
   8    8    -0.614    -4.536     1    MDI2-             306
   9    9    -0.630    -4.536     1    VDD1              1522
  10   10    -0.645    -4.536     1    MDI3+             252
  11   11    -0.661    -4.536     1    MDI3-             305
  12   12    -0.677    -4.536     1    VDD               13
  13   13    -0.705    -4.564     1    VDD1              1522
  14   14    -0.705    -4.580     1    SMBCLK            249
  15   15    -0.705    -4.596     1    SMBDATA           539
  16   16    -0.705    -4.611     1    CLK_REQ_LAN#      246
  17   17    -0.705    -4.627     1    LAN_TXP6          248
  18   18    -0.705    -4.643     1    LAN_TXN6          540
  19   19    -0.705    -4.659     1    CLK_PCIE_LAN      
  20   20    -0.705    -4.674     1    CLK_PCIE_LAN#     247
  21   21    -0.705    -4.690     1    EVDD1             235
  22   22    -0.705    -4.706     1    LAN_RXP6_C        
  23   23    -0.705    -4.722     1    LAN_RXN6_C        
  24   24    -0.705    -4.737     1    GND               1
  25   25    -0.677    -4.765     1    PLT_RST#          604
  26   26    -0.661    -4.765     1    ISOLATEB          240
  27   27    -0.645    -4.765     1    VDD               13
  28   28    -0.630    -4.765     1    PCIE_WAKE#        1409
  29   29    -0.614    -4.765     1    VDD1              1522
  30   30    -0.598    -4.765     1    EECS              1523
  31   31    -0.582    -4.765     1    EEDO              1521
  32   32    -0.567    -4.765     1    EEDI              1520
  33   33    -0.551    -4.765     1    ENSWREG           239
  34   34    -0.535    -4.765     1    AVDD33_REG        1519
  35   35    -0.519    -4.765     1    AVDD33_REG        1519
  36   36    -0.504    -4.765     1    REGOUT            238
  37   37    -0.476    -4.737     1    LED_DET#_W_EESK   1422
  38   38    -0.476    -4.722     1    GPO               241
  39   39    -0.476    -4.706     1    VDD               13
  40   40    -0.476    -4.690     1    LED_ACT#_A        1428
  41   41    -0.476    -4.674     1    VDD1              1522
  42   42    -0.476    -4.659     1    VDD               13
  43   43    -0.476    -4.643     1    XTAL1             242
  44   44    -0.476    -4.627     1    XTAL2             243
  45   45    -0.476    -4.611     1    VDD1              1522
  46   46    -0.476    -4.596     1    RSET              1518
  47   47    -0.476    -4.580     1    VDD               13
  48   48    -0.476    -4.564     1    VDD               13
  49   49    -0.590    -4.651     1    GND               1

Part U31    (T)

   1    1   -10.064    -1.111     1    +5VRUN            9
   2    2   -10.064    -1.068     1    GND               1
   3    3   -10.064    -1.026     1    +5VRUN            9
   4    4   -10.156    -1.026     1    N31240683         1151
   5    5   -10.156    -1.111     1    +AVDD             17

Part U32    (B)

   1    1    -3.603    -2.001     2    +3VRUN            19
   2    2    -3.603    -2.030     2    DP1               652
   3    3    -3.603    -2.056     2    DN1               651
   4    4    -3.603    -2.085     2    SYS_SHDN#_R       1610
   5    5    -3.772    -2.085     2    GND               1
   6    6    -3.772    -2.056     2    R_OVT_EC#         1599
   7    7    -3.772    -2.030     2    SMB_THRM_DATA     1620
   8    8    -3.772    -2.001     2    SMB_THRM_CLK      1614

Part U33    (B)

   1   A4    -1.070    -2.197     2    NC__2525          
   2   A5    -1.047    -2.197     2    NC__2526          
   3   A6    -1.023    -2.197     2    NC__2527          
   4   A8    -0.993    -2.197     2    PCIECLKRQ3#       
   5  A10    -0.954    -2.197     2    PM_RI#            1487
   6  A12    -0.915    -2.197     2    DRAMRST_CNTRL_PCH  653
   7  A14    -0.876    -2.197     2    USB_OC#0          1133
   8  A16    -0.837    -2.197     2    USB_OC#5          
   9  A18    -0.798    -2.197     2    DSWODVREN         1511
  10  A20    -0.759    -2.197     2    RTC_32KX1         1508
  11  A22    -0.720    -2.197     2    VCCRTC            14
  12  A24    -0.681    -2.197     2    NC__2528          
  13  A26    -0.642    -2.197     2    USB_PP2           1011
  14  A28    -0.603    -2.197     2    NC__2529          
  15  A30    -0.564    -2.197     2    NC__2530          
  16  A32    -0.525    -2.197     2    USB_PP13          404
  17  A34    -0.486    -2.197     2    NC__2531          
  18  A36    -0.447    -2.197     2    IHDA_SDATAO       429
  19  A38    -0.408    -2.197     2    LPC_AD1           
  20  A40    -0.369    -2.197     2    N24840931         
  21  A42    -0.330    -2.197     2    EXTSMI#_R         321
  22  A44    -0.300    -2.197     2    NC__2532          
  23  A45    -0.276    -2.197     2    NC__2533          
  24  A46    -0.253    -2.197     2    NC__2534          
  25   B3    -1.091    -2.177     2    NC__2535          
  26   B7    -1.012    -2.176     2    GND               1
  27   B9    -0.973    -2.180     2    PCIE_WAKE#        1409
  28  B11    -0.934    -2.180     2    GND               1
  29  B13    -0.895    -2.180     2    PM_DRAM_PWRGD_R   1507
  30  B15    -0.856    -2.180     2    GND               1
  31  B17    -0.817    -2.180     2    USB_OC#2          
  32  B19    -0.778    -2.180     2    GND               1
  33  B21    -0.739    -2.180     2    N40141247         1509
  34  B23    -0.700    -2.180     2    GND               1
  35  B25    -0.661    -2.180     2    USB_PP1           1135
  36  B27    -0.622    -2.180     2    GND               1
  37  B29    -0.583    -2.180     2    NC__2536          
  38  B31    -0.544    -2.180     2    GND               1
  39  B33    -0.505    -2.180     2    USBRBIAS          
  40  B35    -0.466    -2.180     2    GND               1
  41  B37    -0.427    -2.180     2    LPC_AD2           1514
  42  B39    -0.388    -2.180     2    GND               1
  43  B41    -0.349    -2.180     2    N88939207         1432
  44  B43    -0.310    -2.176     2    GND               1
  45  B47    -0.232    -2.177     2    NC__2537          
  46   C2    -1.109    -2.159     2    N34084864         1489
